Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,0.265625,0.2723214328289032,0.2600446343421936,0.265625,0.22953693568706512,452312000
2001-01-03,0.2589285671710968,0.2979910671710968,0.2578125,0.2924107015132904,0.2526835501194,817073600
2001-01-04,0.3239397406578064,0.3303571343421936,0.3002232015132904,0.3046875,0.26329243183135986,739396000
2001-01-05,0.3024553656578064,0.3102678656578064,0.2868303656578064,0.2924107015132904,0.2526835501194,412356000
2001-01-08,0.3024553656578064,0.3032924234867096,0.2845982015132904,0.2957589328289032,0.2555769383907318,373699200
2001-01-09,0.3002232015132904,0.3150111734867096,0.2957589328289032,0.3069196343421936,0.2652212679386139,588929600
2001-01-10,0.2979910671710968,0.3035714328289032,0.2868303656578064,0.2957589328289032,0.2555769383907318,580781600
2001-01-11,0.2901785671710968,0.3303571343421936,0.2901785671710968,0.3214285671710968,0.2777590751647949,803734400
2001-01-12,0.3191964328289032,0.3214285671710968,0.3046875,0.3069196343421936,0.2652212679386139,423376800
2001-01-16,0.3113839328289032,0.3258928656578064,0.3035714328289032,0.3058035671710968,0.2642568349838257,306118400
2001-01-17,0.3136160671710968,0.3136160671710968,0.2946428656578064,0.3002232015132904,0.25943461060523987,840873600
2001-01-18,0.3180803656578064,0.3348214328289032,0.3147321343421936,0.3337053656578064,0.2883678674697876,1227010400
2001-01-19,0.3470982015132904,0.3493303656578064,0.3337053656578064,0.3482142984867096,0.30090558528900146,776664000
2001-01-22,0.3404017984867096,0.3504464328289032,0.3292410671710968,0.34375,0.29704782366752625,519327200
2001-01-23,0.3448660671710968,0.3738839328289032,0.3404017984867096,0.3660714328289032,0.3163366913795471,879530400
2001-01-24,0.3683035671710968,0.3694196343421936,0.3493303656578064,0.3660714328289032,0.3163366913795471,717091200
2001-01-25,0.3671875,0.3671875,0.3526785671710968,0.3560267984867096,0.30765673518180847,489708800
2001-01-26,0.3482142984867096,0.3537946343421936,0.3404017984867096,0.3493303656578064,0.30187010765075684,482820800
2001-01-29,0.3493303656578064,0.3883928656578064,0.3493303656578064,0.3872767984867096,0.33466100692749023,855528800
2001-01-30,0.3850446343421936,0.3928571343421936,0.3727678656578064,0.3883928656578064,0.3356254994869232,692423200
